species,site,site_id,year,sum_doy_bichos,sum_conteos,weigth_mean_date
Maniola jurtina,Pitres,48,2021,14890,84,177
Maniola jurtina,Pitres,48,2022,5655,28,202
Maniola jurtina,Purche,20,2012,644,4,161
Maniola jurtina,Purche,20,2013,17417,83,210
Maniola jurtina,Purche,20,2014,36302,213,170
Maniola jurtina,Purche,20,2015,15932,94,169
Maniola jurtina,Purche,20,2016,11604,66,176
Maniola jurtina,Purche,20,2017,4025,22,183
Maniola jurtina,Purche,20,2019,12624,74,171
Maniola jurtina,Purche,20,2020,17905,93,193
Maniola jurtina,Purche,20,2021,36653,204,180
Melanargia lachesis,Barranco de San Juan,33,2013,16749,84,199
Melanargia lachesis,Barranco de San Juan,33,2014,11361,60,189
Melanargia lachesis,Barranco de San Juan,33,2016,2550,13,196
Melanargia lachesis,Barranco de San Juan,33,2017,1553,9,173
Melanargia lachesis,Barranco de San Juan,33,2019,2899,15,193
Melanargia lachesis,Barranco de San Juan,33,2020,3681,19,194
Melanargia lachesis,Barranco de San Juan,33,2021,7166,37,194
Melanargia lachesis,Barranco de San Juan,33,2022,4939,27,183
Melanargia lachesis,Catifas,34,2013,13854,68,204
Melanargia lachesis,Catifas,34,2014,8323,42,198
Melanargia lachesis,Catifas,34,2015,2847,15,190
Melanargia lachesis,Catifas,34,2016,6311,32,197
Melanargia lachesis,Catifas,34,2017,11814,65,182
Melanargia lachesis,Catifas,34,2019,7757,40,194
Melanargia lachesis,Catifas,34,2021,9943,52,191
Melanargia lachesis,Catifas,34,2022,13059,69,189
Melanargia lachesis,Durcal,45,2014,54034,265,204
Melanargia lachesis,Durcal,45,2015,40326,213,189
Melanargia lachesis,Durcal,45,2016,60073,304,198
Melanargia lachesis,Durcal,45,2017,68531,348,197
Melanargia lachesis,Durcal,45,2018,60240,280,215
Melanargia lachesis,Durcal,45,2019,47375,239,198
Melanargia lachesis,Durcal,45,2020,58316,307,190
Melanargia lachesis,Durcal,45,2021,57096,292,196
Melanargia lachesis,Durcal,45,2022,142277,716,199
Melanargia lachesis,Matas Verdes,21,2012,52661,266,198
Melanargia lachesis,Matas Verdes,21,2013,71132,334,213
Melanargia lachesis,Matas Verdes,21,2014,31738,157,202
Melanargia lachesis,Matas Verdes,21,2016,12830,62,207
Melanargia lachesis,Matas Verdes,21,2017,30316,157,193
Melanargia lachesis,Matas Verdes,21,2019,19486,99,197
Melanargia lachesis,Matas Verdes,21,2020,27214,134,203
Melanargia lachesis,Matas Verdes,21,2021,70102,350,200
Melanargia lachesis,Matas Verdes,21,2022,106335,540,197
Melanargia lachesis,Pitres,48,2014,3218,17,189
Melanargia lachesis,Pitres,48,2015,2576,14,184
Melanargia lachesis,Pitres,48,2016,5003,26,192
Melanargia lachesis,Pitres,48,2017,3159,18,176
Melanargia lachesis,Pitres,48,2021,2718,14,194
Melanargia lachesis,Pitres,48,2022,541,3,180
Melanargia lachesis,Praillos,35,2013,5878,28,210
Melanargia lachesis,Praillos,35,2014,4360,22,198
Melanargia lachesis,Praillos,35,2016,3491,17,205
Melanargia lachesis,Praillos,35,2017,3418,18,190
Melanargia lachesis,Praillos,35,2020,5220,26,201
Melanargia lachesis,Praillos,35,2021,6350,33,192
Melanargia lachesis,Praillos,35,2022,4731,24,197
Melanargia lachesis,Purche,20,2012,21136,110,192
Melanargia lachesis,Purche,20,2013,40248,202,199
Melanargia lachesis,Purche,20,2014,41451,222,187
Melanargia lachesis,Purche,20,2015,11036,61,181
Melanargia lachesis,Purche,20,2016,12296,62,198
Melanargia lachesis,Purche,20,2017,4385,24,183
Melanargia lachesis,Purche,20,2019,22454,121,186
Melanargia lachesis,Purche,20,2020,3002,16,188
Melanargia lachesis,Purche,20,2021,12397,65,191
Melanargia lachesis,Robledal de Dilar,23,2012,57440,290,198
Melanargia lachesis,Robledal de Dilar,23,2013,94831,451,210
Melanargia lachesis,Robledal de Dilar,23,2014,72900,367,199
Melanargia lachesis,Robledal de Dilar,23,2015,13454,69,195
Melanargia lachesis,Robledal de Dilar,23,2016,15131,72,210
Melanargia lachesis,Robledal de Dilar,23,2017,49914,264,189
Melanargia lachesis,Robledal de Dilar,23,2019,46128,237,195
Melanargia lachesis,Robledal de Dilar,23,2020,17967,87,207
Melanargia lachesis,Robledal de Dilar,23,2021,100730,500,201
Melanargia lachesis,Robledal de Dilar,23,2022,124905,632,198
Melanargia occitanica,Loma de Papeles Alto,17,2012,9248,50,185
Melanargia occitanica,Loma de Papeles Alto,17,2013,4484,22,204
Melanargia occitanica,Loma de Papeles Alto,17,2014,4150,22,189
Melanargia occitanica,Loma de Papeles Alto,17,2016,14166,81,175
Melanargia occitanica,Loma de Papeles Alto,17,2018,9245,46,201
Melanargia occitanica,Loma de Papeles Alto,17,2019,2636,16,165
Melanargia occitanica,Loma de Papeles Alto,17,2020,4651,27,172
Melanargia occitanica,Loma de Papeles Alto,17,2021,14221,77,185
Melanargia occitanica,Loma de Papeles Bajo,18,2012,1613,9,179
Melanargia occitanica,Loma de Papeles Bajo,18,2013,1741,9,193
Melanargia occitanica,Loma de Papeles Bajo,18,2014,2801,16,175
Melanargia occitanica,Loma de Papeles Bajo,18,2019,491,3,164
Melanargia occitanica,Loma de Papeles Bajo,18,2021,2893,17,170
Melitaea deione,Pitres,48,2014,25932,192,135
Melitaea deione,Pitres,48,2015,42704,316,135
Melitaea deione,Pitres,48,2016,11489,80,144
Melitaea deione,Pitres,48,2017,13497,98,138
Melitaea deione,Pitres,48,2018,21930,144,152
Melitaea deione,Pitres,48,2019,22523,192,117
Melitaea deione,Pitres,48,2020,11067,75,148
Melitaea deione,Pitres,48,2021,24425,168,145
Melitaea phoebe,Barranco de San Juan,33,2014,1385,9,154
Melitaea phoebe,Barranco de San Juan,33,2015,990,7,141
Melitaea phoebe,Barranco de San Juan,33,2019,938,7,134
Melitaea phoebe,Barranco de San Juan,33,2020,1875,11,170
Melitaea phoebe,Barranco de San Juan,33,2021,882,5,176
Melitaea phoebe,Purche,20,2014,4123,29,142
Melitaea phoebe,Purche,20,2015,4110,25,164
Melitaea phoebe,Purche,20,2016,4772,28,170
Melitaea phoebe,Purche,20,2019,3512,23,153
Melitaea phoebe,Purche,20,2021,2729,16,171
Melitaea phoebe,Robledal de Dilar,23,2014,1653,11,150
Melitaea phoebe,Robledal de Dilar,23,2015,2316,16,145
Melitaea phoebe,Robledal de Dilar,23,2016,1604,10,160
Melitaea phoebe,Robledal de Dilar,23,2017,6166,40,154
Melitaea phoebe,Robledal de Dilar,23,2019,1398,10,140
Melitaea phoebe,Robledal de Dilar,23,2020,1525,10,152
Melitaea phoebe,Robledal de Dilar,23,2021,1017,7,145
Melitaea trivia,Loma de Papeles Alto,17,2014,3087,18,172
Melitaea trivia,Loma de Papeles Alto,17,2015,3357,18,186
Melitaea trivia,Loma de Papeles Alto,17,2016,8684,48,181
Melitaea trivia,Loma de Papeles Alto,17,2020,4965,26,191
Melitaea trivia,Loma de Papeles Alto,17,2021,5266,31,170
Melitaea trivia,Praillos,35,2013,1520,9,169
Melitaea trivia,Praillos,35,2014,3356,20,168
Melitaea trivia,Praillos,35,2017,514,3,171
Melitaea trivia,Praillos,35,2019,614,4,154
Melitaea trivia,Praillos,35,2020,2373,13,183
Parnassius apollo,Borreguiles San Juan,16,2012,1187,6,198
Parnassius apollo,Borreguiles San Juan,16,2013,4000,19,211
Parnassius apollo,Borreguiles San Juan,16,2014,10847,54,201
Parnassius apollo,Borreguiles San Juan,16,2015,9042,46,197
Parnassius apollo,Borreguiles San Juan,16,2017,13423,79,170
Parnassius apollo,Borreguiles San Juan,16,2018,3972,19,209
Parnassius apollo,Campos de Otero,24,2012,9497,50,190
Parnassius apollo,Campos de Otero,24,2013,41809,205,204
Parnassius apollo,Campos de Otero,24,2014,48613,253,192
Parnassius apollo,Campos de Otero,24,2015,15973,85,188
Parnassius apollo,Campos de Otero,24,2016,13450,69,195
Parnassius apollo,Campos de Otero,24,2017,7515,44,171
Parnassius apollo,Campos de Otero,24,2018,9746,47,207
Parnassius apollo,Campos de Otero,24,2019,13177,73,181
Parnassius apollo,Campos de Otero,24,2020,7994,42,190
Parnassius apollo,Campos de Otero,24,2021,6642,36,184
Parnassius apollo,Laguna Seca,14,2012,22047,120,184
Parnassius apollo,Laguna Seca,14,2013,29301,149,197
Parnassius apollo,Laguna Seca,14,2014,53709,293,183
Parnassius apollo,Laguna Seca,14,2015,7481,42,178
Parnassius apollo,Laguna Seca,14,2017,6943,41,169
Parnassius apollo,Laguna Seca,14,2018,9492,48,198
Parnassius apollo,Laguna Seca,14,2019,1945,11,177
Parnassius apollo,Laguna Seca,14,2021,2965,16,185
Parnassius apollo,Loma de Papeles Alto,17,2013,16656,83,201
Parnassius apollo,Loma de Papeles Alto,17,2014,17719,95,187
Parnassius apollo,Loma de Papeles Alto,17,2016,6312,34,186
Parnassius apollo,Loma de Papeles Alto,17,2018,5017,25,201
Parnassius apollo,Loma de Papeles Alto,17,2019,3730,21,178
Parnassius apollo,Loma de Papeles Bajo,18,2013,19968,106,188
Parnassius apollo,Loma de Papeles Bajo,18,2014,35212,203,173
Parnassius apollo,Loma de Papeles Bajo,18,2015,16349,91,180
Parnassius apollo,Loma de Papeles Bajo,18,2016,11440,63,182
Parnassius apollo,Loma de Papeles Bajo,18,2017,13540,84,161
Parnassius apollo,Loma de Papeles Bajo,18,2018,11999,62,194
Parnassius apollo,Loma de Papeles Bajo,18,2020,6155,34,181
Parnassius apollo,Loma de Papeles Bajo,18,2021,6838,38,180
Plebejus argus,Catifas,34,2013,2284,12,190
Plebejus argus,Catifas,34,2014,6872,38,181
Plebejus argus,Catifas,34,2016,7439,39,191
Plebejus argus,Catifas,34,2017,8742,51,171
Plebejus argus,Catifas,34,2019,3161,18,176
Plebejus argus,Catifas,34,2021,3001,16,188
Plebejus argus,Durcal,45,2014,5526,27,205
Plebejus argus,Durcal,45,2015,5660,29,195
Plebejus argus,Durcal,45,2016,46952,242,194
Plebejus argus,Durcal,45,2017,8450,43,197
Plebejus argus,Durcal,45,2018,8800,43,205
Plebejus argus,Durcal,45,2019,7323,36,203
Plebejus argus,Durcal,45,2020,6444,32,201
Plebejus argus,Durcal,45,2021,8509,43,198
Plebejus argus,Matas Verdes,21,2013,38372,197,195
Plebejus argus,Matas Verdes,21,2014,23580,128,184
Plebejus argus,Matas Verdes,21,2015,10432,57,183
Plebejus argus,Matas Verdes,21,2017,15665,85,184
Plebejus argus,Matas Verdes,21,2019,17300,94,184
Plebejus argus,Matas Verdes,21,2020,9764,51,191
Plebejus argus,Matas Verdes,21,2021,7516,39,193
Plebejus argus,Matas Verdes,21,2022,3790,21,180
Plebejus argus,Praillos,35,2013,4342,23,189
Plebejus argus,Praillos,35,2014,3336,18,185
Plebejus argus,Praillos,35,2016,6487,34,191
Plebejus argus,Praillos,35,2017,5525,31,178
Plebejus argus,Praillos,35,2020,1516,8,190
Plebejus argus,Praillos,35,2021,6120,33,185
Plebejus argus,Robledal de Dilar,23,2013,8392,44,191
Plebejus argus,Robledal de Dilar,23,2014,21715,119,182
Plebejus argus,Robledal de Dilar,23,2016,11814,64,185
Plebejus argus,Robledal de Dilar,23,2019,7098,39,182
Plebejus argus,Robledal de Dilar,23,2020,10080,53,190
Plebejus argus,Robledal de Dilar,23,2021,4008,21,191
Plebejus idas,Durcal,45,2014,12758,68,188
Plebejus idas,Durcal,45,2015,11155,60,186
Plebejus idas,Durcal,45,2016,12940,67,193
Plebejus idas,Durcal,45,2017,7156,39,183
Plebejus idas,Durcal,45,2018,10694,54,198
Plebejus idas,Durcal,45,2019,11974,62,193
Plebejus idas,Durcal,45,2020,7968,43,185
Plebejus idas,Durcal,45,2021,11118,59,188
Plebejus idas,Durcal,45,2022,39615,211,188
Plebejus idas,Laguna Seca,14,2012,68007,366,186
Plebejus idas,Laguna Seca,14,2014,25008,131,191
Plebejus idas,Laguna Seca,14,2016,24972,131,191
Plebejus idas,Laguna Seca,14,2019,96282,528,182
Plebejus idas,Laguna Seca,14,2020,33283,181,184
Plebejus idas,Laguna Seca,14,2021,27013,145,186
Polyommatus amandus,Durcal,45,2014,8747,49,179
Polyommatus amandus,Durcal,45,2015,5056,28,181
Polyommatus amandus,Durcal,45,2016,6037,33,183
Polyommatus amandus,Durcal,45,2018,3767,20,188
Polyommatus amandus,Durcal,45,2019,2269,12,189
Polyommatus amandus,Durcal,45,2020,3162,18,176
Polyommatus escheri,Borreguiles San Juan,16,2013,3735,18,208
Polyommatus escheri,Borreguiles San Juan,16,2014,4817,26,185
Polyommatus escheri,Borreguiles San Juan,16,2015,3933,21,187
Polyommatus escheri,Borreguiles San Juan,16,2017,9484,57,166
Polyommatus escheri,Borreguiles San Juan,16,2020,4887,26,188
Polyommatus escheri,Borreguiles San Juan,16,2021,11875,62,192
Polyommatus escheri,Durcal,45,2016,2734,13,210
Polyommatus escheri,Durcal,45,2017,1140,6,190
Polyommatus escheri,Durcal,45,2018,4382,22,199
Polyommatus escheri,Durcal,45,2019,1587,8,198
Polyommatus escheri,Durcal,45,2020,1610,8,201
Polyommatus escheri,Durcal,45,2021,3695,19,194
Polyommatus escheri,Durcal,45,2022,1965,10,196
Polyommatus escheri,Matas Verdes,21,2013,9252,42,220
Polyommatus escheri,Matas Verdes,21,2016,2064,11,188
Polyommatus escheri,Matas Verdes,21,2017,1099,6,183
Polyommatus escheri,Matas Verdes,21,2021,1574,8,197
Polyommatus escheri,Matas Verdes,21,2022,1555,8,194
Polyommatus golgus,Borreguiles San Juan,16,2012,990,5,198
Polyommatus golgus,Borreguiles San Juan,16,2013,850,4,212
Polyommatus golgus,Borreguiles San Juan,16,2014,1662,9,185
Polyommatus golgus,Borreguiles San Juan,16,2016,1575,8,197
Polyommatus golgus,Borreguiles San Juan,16,2017,5783,33,175
Polyommatus golgus,Borreguiles San Juan,16,2018,1422,7,203
Polyommatus golgus,Borreguiles San Juan,16,2019,5281,28,189
Polyommatus golgus,Borreguiles San Juan,16,2020,2282,12,190
Polyommatus golgus,Borreguiles San Juan,16,2021,2858,15,191
Polyommatus golgus,Borreguiles San Juan,16,2022,12259,64,192
Polyommatus nivescens,Durcal,45,2014,7613,41,186
Polyommatus nivescens,Durcal,45,2015,4091,27,152
Polyommatus nivescens,Durcal,45,2016,8111,42,193
Polyommatus nivescens,Durcal,45,2017,3916,21,186
Polyommatus nivescens,Durcal,45,2018,3495,17,206
Polyommatus nivescens,Durcal,45,2019,4450,28,159
Polyommatus nivescens,Durcal,45,2020,4384,26,169
Polyommatus nivescens,Durcal,45,2021,4149,24,173
Polyommatus nivescens,Durcal,45,2022,1997,13,154
Pyronia bathseba,Barranco de San Juan,33,2013,4726,26,182
Pyronia bathseba,Barranco de San Juan,33,2014,6064,35,173
Pyronia bathseba,Barranco de San Juan,33,2017,3159,19,166
Pyronia bathseba,Barranco de San Juan,33,2019,2331,14,166
Pyronia bathseba,Barranco de San Juan,33,2020,1245,7,178
Pyronia bathseba,Barranco de San Juan,33,2021,3789,21,180
Pyronia bathseba,Barranco de San Juan,33,2022,3661,21,174
Pyronia bathseba,Purche,20,2013,4361,24,182
Pyronia bathseba,Purche,20,2014,5832,35,167
Pyronia bathseba,Purche,20,2015,2764,18,154
Pyronia bathseba,Purche,20,2016,2077,12,173
Pyronia bathseba,Purche,20,2019,5315,30,177
Pyronia bathseba,Purche,20,2020,1648,10,165
Pyronia bathseba,Purche,20,2021,1078,6,180
Pyronia cecilia,Turbera,49,2015,7721,40,193
Pyronia cecilia,Turbera,49,2016,1811,10,181
Pyronia cecilia,Turbera,49,2017,964,4,241
Pyronia cecilia,Turbera,49,2019,2756,14,197
Pyronia cecilia,Turbera,49,2020,501,3,167
Pyronia cecilia,Turbera,49,2022,1245,7,178
Pyronia tithonus,Durcal,45,2014,24760,111,223
Pyronia tithonus,Durcal,45,2015,17618,80,220
Pyronia tithonus,Durcal,45,2016,58717,269,218
Pyronia tithonus,Durcal,45,2017,39528,178,222
Pyronia tithonus,Durcal,45,2018,6379,29,220
Pyronia tithonus,Durcal,45,2019,15797,73,216
Pyronia tithonus,Durcal,45,2020,15082,69,219
Pyronia tithonus,Durcal,45,2021,49071,241,204
Pyronia tithonus,Pitres,48,2014,2246,10,225
Pyronia tithonus,Pitres,48,2015,1434,7,205
Pyronia tithonus,Pitres,48,2016,1722,8,215
Pyronia tithonus,Pitres,48,2017,1069,5,214
Pyronia tithonus,Pitres,48,2020,1615,7,231
Pyronia tithonus,Pitres,48,2021,1291,6,215
Satyrium esculi,Pitres,48,2014,2446,13,188
Satyrium esculi,Pitres,48,2015,4664,25,187
Satyrium esculi,Pitres,48,2016,4621,24,193
Satyrium esculi,Pitres,48,2018,12492,63,198
Satyrium esculi,Pitres,48,2021,1779,9,198
Satyrus actaea,Borreguiles San Juan,16,2012,21267,101,211
Satyrus actaea,Borreguiles San Juan,16,2013,17404,74,235
Satyrus actaea,Borreguiles San Juan,16,2014,21224,94,226
Satyrus actaea,Borreguiles San Juan,16,2016,8468,38,223
Satyrus actaea,Borreguiles San Juan,16,2017,20539,97,212
Satyrus actaea,Borreguiles San Juan,16,2018,8922,39,229
Satyrus actaea,Borreguiles San Juan,16,2019,5969,28,213
Satyrus actaea,Borreguiles San Juan,16,2021,6330,29,218
Satyrus actaea,Borreguiles San Juan,16,2022,14740,70,211
Satyrus actaea,Campos de Otero,24,2012,28972,133,218
Satyrus actaea,Campos de Otero,24,2013,25297,110,230
Satyrus actaea,Campos de Otero,24,2014,20006,88,227
Satyrus actaea,Campos de Otero,24,2015,15093,71,213
Satyrus actaea,Campos de Otero,24,2016,27977,124,226
Satyrus actaea,Campos de Otero,24,2017,45558,216,211
Satyrus actaea,Campos de Otero,24,2018,17028,73,233
Satyrus actaea,Campos de Otero,24,2019,9442,44,215
Satyrus actaea,Campos de Otero,24,2020,11963,55,218
Satyrus actaea,Campos de Otero,24,2021,18570,84,221
Satyrus actaea,Campos de Otero,24,2022,30160,141,214
Satyrus actaea,Durcal,45,2014,103576,468,221
Satyrus actaea,Durcal,45,2015,31138,147,212
Satyrus actaea,Durcal,45,2016,86487,397,218
Satyrus actaea,Durcal,45,2017,116982,547,214
Satyrus actaea,Durcal,45,2018,84923,381,223
Satyrus actaea,Durcal,45,2019,46094,217,212
Satyrus actaea,Durcal,45,2020,40928,175,234
Satyrus actaea,Durcal,45,2021,47970,206,233
Satyrus actaea,Durcal,45,2022,34209,158,217
Satyrus actaea,Laguna Seca,14,2012,53059,250,212
Satyrus actaea,Laguna Seca,14,2013,136572,596,229
Satyrus actaea,Laguna Seca,14,2014,32424,143,227
Satyrus actaea,Laguna Seca,14,2015,32374,148,219
Satyrus actaea,Laguna Seca,14,2016,35983,167,215
Satyrus actaea,Laguna Seca,14,2017,39030,183,213
Satyrus actaea,Laguna Seca,14,2018,15412,63,245
Satyrus actaea,Laguna Seca,14,2019,37422,174,215
Satyrus actaea,Laguna Seca,14,2020,17454,77,227
Satyrus actaea,Laguna Seca,14,2021,28423,128,222
Satyrus actaea,Laguna Seca,14,2022,11970,55,218
Satyrus actaea,Loma de Papeles Alto,17,2012,35795,174,206
Satyrus actaea,Loma de Papeles Alto,17,2013,144263,638,226
Satyrus actaea,Loma de Papeles Alto,17,2014,60447,277,218
Satyrus actaea,Loma de Papeles Alto,17,2016,50745,232,219
Satyrus actaea,Loma de Papeles Alto,17,2017,46613,222,210
Satyrus actaea,Loma de Papeles Alto,17,2018,23022,96,240
Satyrus actaea,Loma de Papeles Alto,17,2019,13335,62,215
Satyrus actaea,Loma de Papeles Alto,17,2020,26011,118,220
Satyrus actaea,Loma de Papeles Alto,17,2021,16996,78,218
Satyrus actaea,Loma de Papeles Alto,17,2022,16440,80,206
Satyrus actaea,Loma de Papeles Bajo,18,2012,13425,65,207
Satyrus actaea,Loma de Papeles Bajo,18,2013,19045,84,227
Satyrus actaea,Loma de Papeles Bajo,18,2014,5829,27,216
Satyrus actaea,Loma de Papeles Bajo,18,2015,4428,21,211
Satyrus actaea,Loma de Papeles Bajo,18,2016,10195,46,222
Satyrus actaea,Loma de Papeles Bajo,18,2017,10345,51,203
Satyrus actaea,Loma de Papeles Bajo,18,2021,4071,18,226
Satyrus actaea,Loma de Papeles Bajo,18,2022,10270,49,210
Satyrus actaea,Matas Verdes,21,2012,4478,21,213
Satyrus actaea,Matas Verdes,21,2013,6237,27,231
Satyrus actaea,Matas Verdes,21,2014,5390,24,225
Satyrus actaea,Matas Verdes,21,2016,6579,29,227
Satyrus actaea,Matas Verdes,21,2017,2075,10,208
Satyrus actaea,Matas Verdes,21,2021,1190,5,238
Satyrus actaea,Matas Verdes,21,2022,1723,8,215
Satyrus actaea,Praillos,35,2013,1770,8,221
Satyrus actaea,Praillos,35,2014,1735,8,217
Satyrus actaea,Praillos,35,2019,614,3,205
Satyrus actaea,Praillos,35,2021,902,4,226
Satyrus actaea,Praillos,35,2022,1037,5,207
Satyrus actaea,Robledal de Dilar,23,2012,3453,16,216
Satyrus actaea,Robledal de Dilar,23,2013,5680,24,237
Satyrus actaea,Robledal de Dilar,23,2014,4230,19,223
Satyrus actaea,Robledal de Dilar,23,2015,5875,27,218
Satyrus actaea,Robledal de Dilar,23,2016,5740,25,230
Satyrus actaea,Robledal de Dilar,23,2021,1694,7,242
Satyrus actaea,Robledal de Dilar,23,2022,7742,37,209
Satyrus actaea,Sabinas,36,2013,4202,18,233
Satyrus actaea,Sabinas,36,2014,5710,26,220
Satyrus actaea,Sabinas,36,2019,2875,14,205
Satyrus actaea,Sabinas,36,2020,2373,11,216
Satyrus actaea,Sabinas,36,2021,4389,20,219
Satyrus actaea,Sabinas,36,2022,6775,32,212
Thymelicus sylvestris,Durcal,45,2014,7561,40,189
Thymelicus sylvestris,Durcal,45,2015,4119,21,196
Thymelicus sylvestris,Durcal,45,2017,12241,59,207
Thymelicus sylvestris,Durcal,45,2018,12065,58,208
Thymelicus sylvestris,Durcal,45,2019,19149,98,195
Thymelicus sylvestris,Durcal,45,2020,15332,78,197
Thymelicus sylvestris,Durcal,45,2021,19339,100,193
Thymelicus sylvestris,Durcal,45,2022,4360,24,182
Thymelicus sylvestris,Purche,20,2014,47886,289,166
Thymelicus sylvestris,Purche,20,2015,40692,245,166
Thymelicus sylvestris,Purche,20,2016,11995,67,179
Thymelicus sylvestris,Purche,20,2019,16086,93,173
Thymelicus sylvestris,Purche,20,2021,16467,98,168
Zerynthia rumina,Pitres,48,2014,4876,46,106
Zerynthia rumina,Pitres,48,2015,1545,14,110
Zerynthia rumina,Pitres,48,2016,1264,13,97
Zerynthia rumina,Pitres,48,2017,2083,22,95
Zerynthia rumina,Pitres,48,2018,2188,17,129
Zerynthia rumina,Pitres,48,2019,1066,13,82
Zerynthia rumina,Pitres,48,2021,1387,13,107
Zerynthia rumina,Pitres,48,2022,2452,20,123
