species,site_id,mk_tau,mk_pvalue,sen_slope,sen_stats,sen_pvalue,lm_slope,lm_pvalue,lm_rsquared,transecto,id_transect,abb_elev,abreviatura,altitud
Hipparchia statilinus,18,-0.6000000238418579,0.22067134082317352,-4.208333333333333,-1.224744871391589,0.2206713619198468,-1.5799999999999446,0.2028363322799488,0.4678410794602688,Loma de Papeles Bajo,16_18,PB (2121),PB,2121
Hipparchia statilinus,20,-0.4285714626312256,0.1735462248325348,-2.5238095238095237,-1.360897063089832,0.17354622178785328,-1.65277777777777,0.2364573930855895,0.22378672229333701,Purche,16_20,PU (1442),PU,1442
Hipparchia statilinus,21,-0.3333333432674408,0.3675207495689392,-2,-0.9011271137791659,0.3675207382421431,-1.7309417040359714,0.2451571221073661,0.25737422872035104,Matas Verdes,16_21,MV (1919),MV,1919
Hipparchia statilinus,23,-0.2222222238779068,0.4655121862888336,-1.5,-0.7298004491997617,0.46551216987418653,-1.1716101694915142,0.2955972517322918,0.15433549874436026,Robledal Dílar,16_23,DI (1720),DI,1720
Hipparchia statilinus,34,-0.4285714626312256,0.1735462248325348,-2.166666666666667,-1.360897063089832,0.17354622178785328,-1.4798994974873576,0.14815230630298892,0.31450867906191265,Catifas,16_34,CAT (1666),CAT,1666
Hipparchia statilinus,45,-0.0476190485060215,1,-1,-0,1,-0.035714285714343416,0.9792428246388151,1.4952153110111616e-4,Dúrcal,16_45,DU (1950),DU,1950
Hipparchia statilinus,48,0.46666663885116577,0.25965631008148193,2,1.1272037239532693,0.2596563563704501,1.1750000000000316,0.2155967304421763,0.35063492063491314,Pitres,16_48,PI (1379),PI,1379
Hyponephele lycaon,14,0.3333333134651184,0.45237040519714355,2,0.7514691493021795,0.45237036067736075,0.4333333333333323,0.6533409696421195,0.05544013121924279,Laguna seca,16_14,LS (2282),LS,2282
Hyponephele lycaon,16,-0.19999998807907104,0.7071142196655273,-0.6666666666666666,-0.3757345746510897,0.7071142312899614,-0.5052631578948331,0.5392300490916746,0.1010526315789721,Borreguiles San Juan,16_16,BOSJ (2545),BOSJ,2545
Hyponephele lycaon,18,0.19999998807907104,0.7071142196655273,0.75,0.3757345746510897,0.7071142312899614,0.2548330404217622,0.7581985498521441,0.02645010083117243,Loma de Papeles Bajo,16_18,PB (2121),PB,2121
Hyponephele lycaon,20,-0.3333333432674408,0.3675207495689392,-2,-0.9011271137791659,0.3675207382421431,-0.964028776978251,0.24189081074912105,0.26044325829654286,Purche,16_20,PU (1442),PU,1442
Hyponephele lycaon,21,0.1951800137758255,0.6485822200775146,0.6,0.45573271518764996,0.6485821935696237,0.5656250000000065,0.4834879138690064,0.102686183550656,Matas Verdes,16_21,MV (1919),MV,1919
Hyponephele lycaon,23,0.1428571492433548,0.7638905048370361,0.6,0.3003757045930553,0.7638905934705397,0.3947368421052714,0.6300113247407326,0.049943274305731825,Robledal Dílar,16_23,DI (1720),DI,1720
Hyponephele lycaon,24,-0.04494665563106537,0.9284440279006958,-0.3333333333333333,-0.08980265101338746,0.928444041500591,-0.08631772268137194,0.9139232315043253,0.0015531902626435968,Campos de Otero,16_24,CO (2248),CO,2248
Hyponephele lycaon,34,0.09759000688791275,0.8792572021484375,0.4,0.15191090506254998,0.8792572071248308,0.1940789473684884,0.8152197167920716,0.01199021769083316,Catifas,16_34,CAT (1666),CAT,1666
Hyponephele lycaon,35,-0.6000000238418579,0.22067134082317352,-2.75,-1.224744871391589,0.2206713619198468,-1.5543478260869519,0.1168502003539259,0.6140103290896003,Praillos,16_35,PRA (1894),PRA,1894
Hyponephele lycaon,45,0.1111111119389534,0.7544541358947754,0.5,0.3127716210856122,0.754454177494089,0.366666666666647,0.7527465797125918,0.015106117353307124,Dúrcal,16_45,DU (1950),DU,1950
Iphiclides feisthamelii,18,0.800000011920929,0.0864107608795166,8.5,1.7146428199482247,0.08641073297370003,3.7835051546391014,0.15729453132884838,0.5398702922832876,Loma de Papeles Bajo,16_18,PB (2121),PB,2121
Iphiclides feisthamelii,20,0.3888888955116272,0.17530810832977295,2.685714285714286,1.355343691370986,0.1753080808082735,2.1833333333333327,0.19215958154014676,0.22933315515168567,Purche,16_20,PU (1442),PU,1442
Iphiclides feisthamelii,21,0.2888889014720917,0.2831308841705322,2,1.073312629199899,0.28313087066234666,1.4113865932047533,0.30752807722459125,0.12927127070827577,Matas Verdes,16_21,MV (1919),MV,1919
Iphiclides feisthamelii,23,0.2888889014720917,0.2831308841705322,2,1.073312629199899,0.28313087066234666,1.4113865932047533,0.30752807722459125,0.12927127070827577,Robledal Dílar,16_23,DI (1720),DI,1720
Iphiclides feisthamelii,33,-0.06666666269302368,1,-1.5,-0,1,0.18750000000007927,0.9205993284827276,0.002807236431692991,Barranco de San Juan,16_33,BSJ (1362),BSJ,1362
Iphiclides feisthamelii,35,0.19999998807907104,0.7071142196655273,2.75,0.3757345746510897,0.7071142312899614,1.2428571428574569,0.548707803819372,0.09664403822012269,Praillos,16_35,PRA (1894),PRA,1894
Iphiclides feisthamelii,45,0.2777777910232544,0.3480825424194336,1.6,0.9383148632568366,0.3480826236329239,1.8833333333333624,0.4682318779176282,0.07750060694343866,Dúrcal,16_45,DU (1950),DU,1950
Iphiclides feisthamelii,48,0.2777777910232544,0.3480825424194336,1.6,0.9383148632568366,0.3480826236329239,1.8833333333333624,0.4682318779176282,0.07750060694343866,Pitres,16_48,PI (1379),PI,1379
Iphiclides feisthamelii,49,0.6000000238418579,0.22067129611968994,6.833333333333334,1.224744871391589,0.2206713619198468,4.00000000000018,0.1530940286258927,0.5470692717584399,Turbera,16_49,TU (745),TU,745
Issoria lathonia,14,0.08989331126213074,0.7876157760620117,0.6666666666666666,0.26940795304016235,0.7876157667022056,0.7405303030302499,0.7290969890444556,0.015829179339863338,Laguna seca,16_14,LS (2282),LS,2282
Issoria lathonia,15,0.29276999831199646,0.4475208520889282,2.6,0.7595545253127499,0.4475209101304693,2.229838709676915,0.16420365765642847,0.34676625603246547,Altas cumbres,16_15,AC (3126),AC,3126
Issoria lathonia,16,0.036369651556015015,1,0.125,0,1,-0.10593900481535326,0.9698343861117082,2.5892365271108764e-4,Borreguiles San Juan,16_16,BOSJ (2545),BOSJ,2545
Issoria lathonia,17,0,1,-0.625,-0,1,0.010294117647304977,0.9969005596194278,2.31477107397403e-6,Loma de Papeles Alto,16_17,PA (2400),PA,2400
Issoria lathonia,18,0.11009638011455536,0.6962153911590576,1,0.3904344047215152,0.6962153512437399,0.9000000000000052,0.6511911283575647,0.023717452327944907,Loma de Papeles Bajo,16_18,PB (2121),PB,2121
Issoria lathonia,21,0.08451542258262634,0.8339354991912842,0.375,0.20965696734438366,0.833935414088552,0.14819004524883192,0.9413285626186427,8.306048231897352e-4,Matas Verdes,16_21,MV (1919),MV,1919
Issoria lathonia,23,0.0555555559694767,0.9169652462005615,1.125,0.10425720702853739,0.9169652366288644,0.18648648648633323,0.9344610122613978,0.0010367873312019074,Robledal Dílar,16_23,DI (1720),DI,1720
Issoria lathonia,24,0.11009638011455536,0.6962153911590576,1,0.3904344047215152,0.6962153512437399,0.9000000000000052,0.6511911283575647,0.023717452327944907,Campos de Otero,16_24,CO (2248),CO,2248
Issoria lathonia,33,-0.20000000298023224,0.8064959049224854,-2,-0.2449489742783178,0.8064959405073402,-1.4999999999999067,0.6852452326776328,0.06241583625099928,Barranco de San Juan,16_33,BSJ (1362),BSJ,1362
Issoria lathonia,36,0.0714285746216774,0.901538610458374,1.3666666666666667,0.12371791482634838,0.9015386266571278,0.01564945226859517,0.9949281822790861,7.31693111464981e-6,Sabinas,16_36,SA (2180),SA,2180
Issoria lathonia,45,-0.20000000298023224,0.8064959049224854,-3.5,-0.2449489742783178,0.8064959405073402,0.7325581395350907,0.8710498490149194,0.010292409186156813,Dúrcal,16_45,DU (1950),DU,1950
Issoria lathonia,48,0.0476190485060215,1,2,0,1,2.1702898550723706,0.47252404757673444,0.10763401417357339,Pitres,16_48,PI (1379),PI,1379
Lampides boeticus,45,0.20000000298023224,0.8064959049224854,7.875,0.2449489742783178,0.8064959405073402,4.965116279069723,0.45289091565323086,0.19788171095416168,Dúrcal,16_45,DU (1950),DU,1950
Lampides boeticus,48,0.1666666716337204,0.6021676063537598,1.9821428571428572,0.5212860351426869,0.6021675277481959,1.2999999999999468,0.611388545328558,0.038817524457676,Pitres,16_48,PI (1379),PI,1379
Lasiommata maera,21,-0.20000000298023224,0.8064959049224854,-2.583333333333333,-0.2449489742783178,0.8064959405073402,-0.660000000000043,0.7509766822717103,0.03875444839858592,Matas Verdes,16_21,MV (1919),MV,1919
Lasiommata megera,14,-0.2380952388048172,0.5480055809020996,-1,-0.6007514091861106,0.5480055723613093,-2.312500000000398,0.7331470539036777,0.02534434241707887,Laguna seca,16_14,LS (2282),LS,2282
Lasiommata megera,16,-0.1666666716337204,0.602167546749115,-1,-0.5212860351426869,0.6021675277481959,-3.0660377358491164,0.5105356661349698,0.06423297917270146,Borreguiles San Juan,16_16,BOSJ (2545),BOSJ,2545
Lasiommata megera,17,-0.01818181946873665,1,-0.375,-0,1,0.13636363636364635,0.9766334518087277,1.00750479124516e-4,Loma de Papeles Alto,16_17,PA (2400),PA,2400
Lasiommata megera,18,-0.01818181946873665,1,-0.375,-0,1,0.13636363636364635,0.9766334518087277,1.00750479124516e-4,Loma de Papeles Bajo,16_18,PB (2121),PB,2121
Lasiommata megera,20,-0.1111111119389534,0.7544541954994202,-1.625,-0.3127716210856122,0.754454177494089,-2.5708333333334075,0.6603784686019483,0.029176042305336748,Purche,16_20,PU (1442),PU,1442
Lasiommata megera,21,-0.02222222276031971,1,-0.42857142857142855,-0,1,0.28650137741063036,0.9538479703662068,4.4552537805857853e-4,Matas Verdes,16_21,MV (1919),MV,1919
Lasiommata megera,23,-0.02222222276031971,1,-0.42857142857142855,-0,1,0.28650137741063036,0.9538479703662068,4.4552537805857853e-4,Robledal Dílar,16_23,DI (1720),DI,1720
Lasiommata megera,24,-0.01818181946873665,1,-0.375,-0,1,0.13636363636364635,0.9766334518087277,1.00750479124516e-4,Campos de Otero,16_24,CO (2248),CO,2248
Lasiommata megera,32,-0.06666666269302368,1,-0.6,-0,1,0.813114754098889,0.9284320072037515,0.0022798984603003046,Fabriquilla,16_32,FA (992),FA,992
Lasiommata megera,33,-0.02222222276031971,1,-0.42857142857142855,-0,1,0.28650137741063036,0.9538479703662068,4.4552537805857853e-4,Barranco de San Juan,16_33,BSJ (1362),BSJ,1362
Lasiommata megera,34,-0.02222222276031971,1,-0.42857142857142855,-0,1,0.28650137741063036,0.9538479703662068,4.4552537805857853e-4,Catifas,16_34,CAT (1666),CAT,1666
Lasiommata megera,35,-0.02222222276031971,1,-0.42857142857142855,-0,1,0.28650137741063036,0.9538479703662068,4.4552537805857853e-4,Praillos,16_35,PRA (1894),PRA,1894
Lasiommata megera,36,-0.06666666269302368,1,-0.75,-0,1,-0.5124999999994727,0.945367777974673,0.0013276992338647656,Sabinas,16_36,SA (2180),SA,2180
Lasiommata megera,45,0.2222222238779068,0.46551215648651123,7.357142857142857,0.7298004491997617,0.46551216987418653,7.716666666666678,0.20001754099417549,0.22238063293591473,Dúrcal,16_45,DU (1950),DU,1950
Lasiommata megera,48,0.2222222238779068,0.46551215648651123,7.357142857142857,0.7298004491997617,0.46551216987418653,7.716666666666678,0.20001754099417549,0.22238063293591473,Pitres,16_48,PI (1379),PI,1379
Leptidea sinapis,48,-0.4285714328289032,0.22955621778964996,-10,-1.2015028183722212,0.22955621387891967,-15.03571428571022,0.20811312814787644,0.29454552101882153,Pitres,16_48,PI (1379),PI,1379
Leptotes pirithous,45,0,1,0.3125,-0,1,0.5999999999999357,0.8593852534762124,0.004802608824545848,Dúrcal,16_45,DU (1950),DU,1950
Leptotes pirithous,48,0,1,0.3125,-0,1,0.5999999999999357,0.8593852534762124,0.004802608824545848,Pitres,16_48,PI (1379),PI,1379
Leptotes pirithous,49,0.20000000298023224,0.8064959049224854,12.25,0.2449489742783178,0.8064959405073402,5.918604651162813,0.40398181268259625,0.2384116625072763,Turbera,16_49,TU (745),TU,745
Lycaena alciphron,16,-0.46666663885116577,0.2596563398838043,-2,-1.1272037239532693,0.2596563563704501,-2.0239234449762464,0.17843234343582665,0.39912336467364,Borreguiles San Juan,16_16,BOSJ (2545),BOSJ,2545
Lycaena alciphron,17,-0.25689154863357544,0.3100440800189972,-1.25,-1.0151294522759395,0.31004412387652436,-1.2000000000000033,0.2132420073968491,0.16622781911848922,Loma de Papeles Alto,16_17,PA (2400),PA,2400
Lycaena alciphron,18,-0.22473327815532684,0.4189617335796356,-1.3333333333333333,-0.8082238591204871,0.41896172515934094,-1.200000000000136,0.2113293055396706,0.18747780802464456,Loma de Papeles Bajo,16_18,PB (2121),PB,2121
Lycaena alciphron,21,-0.6190476417541504,0.07150541990995407,-2,-1.8022542275583318,0.07150541644487447,-2.1536458333330333,0.05978229993028678,0.5403716942252484,Matas Verdes,16_21,MV (1919),MV,1919
Lycaena alciphron,23,-0.4225771129131317,0.14221327006816864,-2.125,-1.4675987714106857,0.1422132419363925,-1.8662162162161873,0.09802193301100526,0.34217267586226957,Robledal Dílar,16_23,DI (1720),DI,1720
Lycaena alciphron,24,-0.18184825778007507,0.617988646030426,-1.2,-0.49870298095402965,0.6179886442607208,-0.7032755298650877,0.5776292380515631,0.054581239294227014,Campos de Otero,16_24,CO (2248),CO,2248
Lycaena alciphron,35,-0.3571428954601288,0.26551035046577454,-2,-1.1134612334371354,0.26551038895387374,-1.7809076682315208,0.14135397067705013,0.323336459229047,Praillos,16_35,PRA (1894),PRA,1894
Lycaena alciphron,45,-0.30988988280296326,0.29450738430023193,-1.3333333333333333,-1.0482848367219184,0.2945073936801101,-1.733333333333264,0.21451438385773294,0.2102098989375416,Dúrcal,16_45,DU (1950),DU,1950
Lycaena phlaeas,16,0.2380952388048172,0.5480055809020996,14,0.6007514091861106,0.5480055723613093,5.368421052630103,0.28395090743116097,0.22355375198749264,Borreguiles San Juan,16_16,BOSJ (2545),BOSJ,2545
Lycaena phlaeas,17,-0.0476190485060215,1,-1,-0,1,-1.478124999999581,0.7471412668990156,0.022695355612534374,Loma de Papeles Alto,16_17,PA (2400),PA,2400
Lycaena phlaeas,18,0.1111111119389534,0.7544541358947754,7.476190476190476,0.3127716210856122,0.754454177494089,2.629629629629516,0.616214571186985,0.037795122097511125,Loma de Papeles Bajo,16_18,PB (2121),PB,2121
Lycaena phlaeas,20,-0.0714285746216774,0.901538610458374,-2.291666666666667,-0.12371791482634838,0.9015386266571278,-0.987179487179467,0.8646777902667004,0.0052453383371507106,Purche,16_20,PU (1442),PU,1442
Lycaena phlaeas,21,0.1111111119389534,0.7205147743225098,4,0.35777087639996635,0.7205147871362553,2.292011019283859,0.6492119301489152,0.027146013666498506,Matas Verdes,16_21,MV (1919),MV,1919
Lycaena phlaeas,23,0.1111111119389534,0.7205147743225098,4,0.35777087639996635,0.7205147871362553,2.292011019283859,0.6492119301489152,0.027146013666498506,Robledal Dílar,16_23,DI (1720),DI,1720
Lycaena phlaeas,24,0.1111111119389534,0.7205147743225098,4,0.35777087639996635,0.7205147871362553,2.292011019283859,0.6492119301489152,0.027146013666498506,Campos de Otero,16_24,CO (2248),CO,2248
Lycaena phlaeas,32,-0.20000000298023224,0.8064959049224854,-11.625,-0.2449489742783178,0.8064959405073402,-2.94999999999973,0.7759992598666872,0.031278079286917816,Fabriquilla,16_32,FA (992),FA,992
Lycaena phlaeas,33,0.1111111119389534,0.7205147743225098,4,0.35777087639996635,0.7205147871362553,2.292011019283859,0.6492119301489152,0.027146013666498506,Barranco de San Juan,16_33,BSJ (1362),BSJ,1362
Lycaena phlaeas,34,0,1,2.142857142857143,-0,1,0.441314553990536,0.9442246406530246,8.859214686160814e-4,Catifas,16_34,CAT (1666),CAT,1666
Lycaena phlaeas,45,0.4444444477558136,0.1178508996963501,10.666666666666668,1.563858105428061,0.11785089502136507,10.6333333333332,0.051585063317414484,0.4396229947294231,Dúrcal,16_45,DU (1950),DU,1950
Lycaena phlaeas,48,0.4444444477558136,0.1178508996963501,10.666666666666668,1.563858105428061,0.11785089502136507,10.6333333333332,0.051585063317414484,0.4396229947294231,Pitres,16_48,PI (1379),PI,1379
Maniola jurtina,20,0.1666666716337204,0.6021676063537598,1.1166666666666667,0.5212860351426869,0.6021675277481959,3.379166666666613,0.3081394657701565,0.14714379675699005,Purche,16_20,PU (1442),PU,1442
Maniola jurtina,48,0.3333333432674408,0.2514522075653076,3,1.1468292773139113,0.2514521865080218,3.7499999999999862,0.37587077225850934,0.11325503355705101,Pitres,16_48,PI (1379),PI,1379
Melanargia lachesis,20,-0.1972026526927948,0.5293681025505066,-0.6666666666666666,-0.628970902033151,0.5293681061847979,-0.5291666666666341,0.43730406174980996,0.08834903593338496,Purche,16_20,PU (1442),PU,1442
Melanargia lachesis,21,-0.22473327815532684,0.4189617335796356,-0.42857142857142855,-0.8082238591204871,0.41896172515934094,-0.47199265381086597,0.3872535805957238,0.09461943216021551,Matas Verdes,16_21,MV (1919),MV,1919
Melanargia lachesis,23,-0.22473327815532684,0.4189617335796356,-0.42857142857142855,-0.8082238591204871,0.41896172515934094,-0.47199265381086597,0.3872535805957238,0.09461943216021551,Robledal Dílar,16_23,DI (1720),DI,1720
Melanargia lachesis,24,-0.3333333134651184,0.45237037539482117,-1,-0.7514691493021795,0.45237036067736075,-0.6335877862595986,0.4687821643093061,0.13778459281977576,Campos de Otero,16_24,CO (2248),CO,2248
Melanargia lachesis,33,-0.1972026526927948,0.5293681025505066,-0.75,-0.628970902033151,0.5293681061847979,-0.48199152542369783,0.41944249114276333,0.09510240419244553,Barranco de San Juan,16_33,BSJ (1362),BSJ,1362
Melanargia lachesis,34,-0.22473327815532684,0.4189617335796356,-0.42857142857142855,-0.8082238591204871,0.41896172515934094,-0.47199265381086597,0.3872535805957238,0.09461943216021551,Catifas,16_34,CAT (1666),CAT,1666
Melanargia lachesis,35,-0.25354626774787903,0.4016781747341156,-0.75,-0.8386278693775346,0.40167816646977295,-0.3910256410256177,0.497040459489252,0.0682802407516088,Praillos,16_35,PRA (1894),PRA,1894
Melanargia lachesis,45,-0.1972026526927948,0.5293681025505066,-0.33035714285714285,-0.628970902033151,0.5293681061847979,-0.3333333333333099,0.7554946188134165,0.014763779527558498,Dúrcal,16_45,DU (1950),DU,1950
Melanargia lachesis,48,-0.390360027551651,0.2876112461090088,-0.5,-1.0633763354378498,0.2876113200564879,-0.2669902912621261,0.7099223843621295,0.030091118892251887,Pitres,16_48,PI (1379),PI,1379
Melanargia occitanica,17,-0.08451542258262634,0.8339354395866394,-0.5357142857142857,-0.20965696734438366,0.833935414088552,-0.23728813559321216,0.8550634813879745,0.005104931076919163,Loma de Papeles Alto,16_17,PA (2400),PA,2400
Melanargia occitanica,18,-0.29276999831199646,0.4475208818912506,-1.6666666666666667,-0.7595545253127499,0.4475209101304693,-1.4595588235293104,0.2757748731888804,0.23030399560459003,Loma de Papeles Bajo,16_18,PB (2121),PB,2121
Melitaea athalia,23,-0.19999998807907104,0.7071142196655273,-2.2,-0.3757345746510897,0.7071142312899614,-1.3415841584157757,0.43898982204350673,0.15560424007301152,Robledal Dílar,16_23,DI (1720),DI,1720
Melitaea deione,20,-0.4000000059604645,0.46243271231651306,-0.8333333333333333,-0.7348469228349533,0.4624327264504763,-1.2750000000000294,0.7635062501632957,0.03490712905304095,Purche,16_20,PU (1442),PU,1442
Melitaea deione,23,-0.2545875608921051,0.4544273018836975,-2.2857142857142856,-0.7480544714310445,0.4544273022568344,-2.3476821192052566,0.34855796589706517,0.14694386426985057,Robledal Dílar,16_23,DI (1720),DI,1720
Melitaea deione,33,-0.19999998807907104,0.7071142196655273,-0.5,-0.3757345746510897,0.7071142312899614,-1.2749999999998858,0.7233015297022602,0.0348317114543245,Barranco de San Juan,16_33,BSJ (1362),BSJ,1362
Melitaea deione,48,-0.08451542258262634,0.8339354395866394,-0.16666666666666666,-0.20965696734438366,0.833935414088552,-0.7999999999999367,0.7484428600986748,0.01565075627207499,Pitres,16_48,PI (1379),PI,1379
Melitaea didyma,23,-0.0714285746216774,0.901538610458374,-1,-0.12371791482634838,0.9015386266571278,0.016666666666609598,0.9870245580663128,4.7892720306159596e-5,Robledal Dílar,16_23,DI (1720),DI,1720
Melitaea parthenoides,16,0.6000000238418579,0.22067129611968994,1.75,1.224744871391589,0.2206713619198468,1.8353658536585578,0.324957052527115,0.31496301137470156,Borreguiles San Juan,16_16,BOSJ (2545),BOSJ,2545
Melitaea phoebe,20,0.29276999831199646,0.4475208520889282,0.6666666666666666,0.7595545253127499,0.4475209101304693,1.198453608246724,0.6596810971624404,0.04191342718370408,Purche,16_20,PU (1442),PU,1442
Melitaea phoebe,21,0.29276999831199646,0.4475208520889282,5.666666666666667,0.7595545253127499,0.4475209101304693,3.827586206896512,0.12262828400927601,0.4078675862069563,Matas Verdes,16_21,MV (1919),MV,1919
Melitaea phoebe,23,0.5855399966239929,0.09471774101257324,5.5,1.6710199556880498,0.0947177362150649,4.42123287671228,0.0991507371789423,0.4497881516025971,Robledal Dílar,16_23,DI (1720),DI,1720
Melitaea phoebe,33,0.5855399966239929,0.09471774101257324,5.5,1.6710199556880498,0.0947177362150649,4.42123287671228,0.0991507371789423,0.4497881516025971,Barranco de San Juan,16_33,BSJ (1362),BSJ,1362
Melitaea trivia,17,0.800000011920929,0.0864107608795166,8.5,1.7146428199482247,0.08641073297370003,4.088235294117641,0.10645235722121761,0.6350745483709798,Loma de Papeles Alto,16_17,PA (2400),PA,2400
Melitaea trivia,35,0.06666666269302368,1,0.3333333333333333,0,1,1.253333333333845,0.5745817187754361,0.08520732883322249,Praillos,16_35,PRA (1894),PRA,1894
Nymphalis polychloros,23,0,1,0,-0,1,2.419540229884721,0.7924283084722161,0.01517891215326775,Robledal Dílar,16_23,DI (1720),DI,1720
Papilio machaon,17,0,1,1.1666666666666667,-0,1,0.3378378378376679,0.9397192461130537,8.768631588390245e-4,Loma de Papeles Alto,16_17,PA (2400),PA,2400
Papilio machaon,35,0.06666666269302368,1,6,0,1,0.7320954907174253,0.8934841296529864,0.005059554172634244,Praillos,16_35,PRA (1894),PRA,1894
Papilio machaon,48,0.1111111119389534,0.7544541358947754,4.533333333333333,0.3127716210856122,0.754454177494089,3.750000000000138,0.4786355164422934,0.07407669346028632,Pitres,16_48,PI (1379),PI,1379
Pararge aegeria,20,-0.6900655031204224,0.08516790717840195,-2,-1.7214571252710134,0.08516790588395591,-1.2650602409638698,0.09581122445791108,0.540697389285662,Purche,16_20,PU (1442),PU,1442
Pararge aegeria,23,-0.785714328289032,0.0093747703358531,-3.041666666666667,-2.598076211353316,0.009374768459434886,-2.525821596244089,0.009557402227551125,0.7004598034945956,Robledal Dílar,16_23,DI (1720),DI,1720
Pararge aegeria,32,-0.8169824481010437,0.003333356697112322,-4.4523809523809526,-2.9351975428213715,0.003333354025136576,-5.791313559322074,0.02116386008367088,0.5555555576208978,Fabriquilla,16_32,FA (992),FA,992
Pararge aegeria,33,-0.3162277340888977,0.6133543252944946,-1.3333333333333335,-0.5052911526399114,0.6133543559547467,-0.9651162790696195,0.38540529844760985,0.2551103540215957,Barranco de San Juan,16_33,BSJ (1362),BSJ,1362
Pararge aegeria,45,-0.647951602935791,0.021097978577017784,-1.3095238095238095,-2.3062266407882204,0.021097971724778376,-1.4999999999999796,0.015164048128980567,0.5932617187500133,Dúrcal,16_45,DU (1950),DU,1950
Pararge aegeria,46,-0.647951602935791,0.021097978577017784,-1.3095238095238095,-2.3062266407882204,0.021097971724778376,-1.4999999999999796,0.015164048128980567,0.5932617187500133,Laguna,16_46,LP (732),LP,732
Pararge aegeria,48,-0.647951602935791,0.021097978577017784,-1.3095238095238095,-2.3062266407882204,0.021097971724778376,-1.4999999999999796,0.015164048128980567,0.5932617187500133,Pitres,16_48,PI (1379),PI,1379
Pararge aegeria,49,-0.647951602935791,0.021097978577017784,-1.3095238095238095,-2.3062266407882204,0.021097971724778376,-1.4999999999999796,0.015164048128980567,0.5932617187500133,Turbera,16_49,TU (745),TU,745
Parnassius apollo,14,-0.16363637149333954,0.5334165096282959,-0.6,-0.6227991553292184,0.5334165134726944,-0.5000000000000011,0.5186878920665657,0.04772798990217709,Laguna seca,16_14,LS (2282),LS,2282
Parnassius apollo,16,-0.16363637149333954,0.5334165096282959,-0.6,-0.6227991553292184,0.5334165134726944,-0.5000000000000011,0.5186878920665657,0.04772798990217709,Borreguiles San Juan,16_16,BOSJ (2545),BOSJ,2545
Parnassius apollo,17,-0.2222222238779068,0.4655121862888336,-1,-0.7298004491997617,0.46551216987418653,-0.5970588235293878,0.5536386320550444,0.05237810768213025,Loma de Papeles Alto,16_17,PA (2400),PA,2400
